layer_name;HighFi;MediumFi;LowFi
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;0,0;;
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;0,0;
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;;0,0;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;0,0;;
HiddenMesh;;;0,0
HiddenMesh;0,0;;
HiddenMesh;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;0,0;;
Ice Dispenser;;;0,0
Ice Dispenser;0,0;;
Ice Dispenser;0,0;;
Ice Dispenser;;;0,0
Ice Dispenser;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;0,0;;
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ice Dispenser;;;0,0
Ice Dispenser;;0,0;
Ice Dispenser;;0,0;
Ice Dispenser;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;;0,0;
Ice Dispenser;;;0,0
Ice Dispenser;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ice Dispenser;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ice Dispenser;;;0,0
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;0,0;;
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;;;0,0
Ice Dispenser;;0,0;
Ice Dispenser;;0,0;
Ice Dispenser;0,0;;
Ice Dispenser;0,0;;
Ice Dispenser;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;;;0,0
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;0,0;;
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;;0,0;
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;;0,0;
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;;0,0;
Ignore Raycast;;;0,0
Ignore Raycast;;;0,0
Ignore Raycast;;;0,0
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;0,0;;
Ignore Raycast;0,0;;
Ignore Raycast;;;0,0
Ignore Raycast;0,0;;
Ignore Raycast;0,0;;
Ignore Raycast;;0,0;
Ignore Raycast;;;0,0
Ignore Raycast;;0,0;
Ignore Raycast;;;0,0
Middel point;;;0,0
Middel point;0,0;;
Middel point;;0,0;
Middel point;0,0;;
Middel point;0,0;;
