layer_name;total_fixation_duration_s;task_type
Floor;0,0;MediumFi
Floor;2,542719501893771;MediumFi
Floor;7,159842118764573;MediumFi
Floor;0,0;MediumFi
Floor;0,0;MediumFi
Garnish Dispenser;5,994986889193569;HighFi
Garnish Dispenser;7,337298661685054;HighFi
Garnish Dispenser;5,257463763989108;HighFi
Garnish Dispenser;0,0;HighFi
Garnish Dispenser;0,0;HighFi
Garnish Dispenser;10,266053855928476;HighFi
Garnish Dispenser;0,0;HighFi
Garnish Dispenser;4,297073494984943;HighFi
Garnish Dispenser;4,8920159030967625;HighFi
Garnish Dispenser;9,001913546730066;HighFi
Garnish Dispenser;0,0;HighFi
Garnish Dispenser;19,0224185654115;HighFi
Garnish Dispenser;4,311354295801721;HighFi
Garnish Dispenser;9,242945791294915;HighFi
Garnish Dispenser;0,0;HighFi
Garnish Dispenser;0,0;LowFi
Garnish Dispenser;4,849188802865683;LowFi
Garnish Dispenser;6,255655588814989;LowFi
Garnish Dispenser;13,457450003144913;LowFi
Garnish Dispenser;4,863604903228406;LowFi
Garnish Dispenser;7,591849538795941;LowFi
Garnish Dispenser;0,0;LowFi
Garnish Dispenser;2,3341363982617622;LowFi
Garnish Dispenser;423,687334184011;LowFi
Garnish Dispenser;11,174419285773183;LowFi
Garnish Dispenser;2,1951614004501607;LowFi
Garnish Dispenser;2,194453798030736;LowFi
Garnish Dispenser;2,375800100489869;LowFi
Garnish Dispenser;0,0;LowFi
Garnish Dispenser;3,23864869582394;LowFi
Garnish Dispenser;0,0;MediumFi
Garnish Dispenser;0,0;MediumFi
Garnish Dispenser;16,419065055291867;MediumFi
Garnish Dispenser;20,22255983791547;MediumFi
Garnish Dispenser;24,108754046508693;MediumFi
Garnish Dispenser;9,137590409591212;MediumFi
Garnish Dispenser;25,429018451795855;MediumFi
Garnish Dispenser;13,184347466871259;MediumFi
Garnish Dispenser;18,273014509984932;MediumFi
Garnish Dispenser;538,7583700809337;MediumFi
Garnish Dispenser;149,26270983314316;MediumFi
Garnish Dispenser;3,1698300040807226;MediumFi
Garnish Dispenser;0,0;MediumFi
Garnish Dispenser;8,977714674041636;MediumFi
Garnish Dispenser;8,480786185316902;MediumFi
Glass Dispenser;2,000011299999642;HighFi
Glass Dispenser;6,186498484303684;HighFi
Glass Dispenser;6,271355274890993;HighFi
Glass Dispenser;5,740825484884226;HighFi
Glass Dispenser;25,30252732548979;HighFi
Glass Dispenser;0,0;HighFi
Glass Dispenser;4,906727489898913;HighFi
Glass Dispenser;17,497790874876955;HighFi
Glass Dispenser;2,5151576017888146;HighFi
Glass Dispenser;22,49845058962819;HighFi
Glass Dispenser;2,725455894110837;HighFi
Glass Dispenser;7,42423227641757;HighFi
Glass Dispenser;7,266608297722996;HighFi
Glass Dispenser;35,91401561962266;HighFi
Glass Dispenser;9,830105622833798;HighFi
Glass Dispenser;6,10200470079144;LowFi
Glass Dispenser;4,236612800799776;LowFi
Glass Dispenser;3,100404294542386;LowFi
Glass Dispenser;2,639776000272832;LowFi
Glass Dispenser;0,0;LowFi
Glass Dispenser;2,097904098336585;LowFi
Glass Dispenser;2,0834063991933363;LowFi
Glass Dispenser;0,0;LowFi
Glass Dispenser;2,2924392015556805;LowFi
Glass Dispenser;0,0;LowFi
Glass Dispenser;2,083714600186795;LowFi
Glass Dispenser;2,54203779452655;LowFi
Glass Dispenser;0,0;LowFi
Glass Dispenser;2,890602298232352;LowFi
Glass Dispenser;0,0;LowFi
Glass Dispenser;127,12201319919131;MediumFi
Glass Dispenser;0,0;MediumFi
Glass Dispenser;6,437467702882714;MediumFi
Glass Dispenser;2,014162000050419;MediumFi
Glass Dispenser;2,5987015980208525;MediumFi
Glass Dispenser;4,249897100453381;MediumFi
Glass Dispenser;17,29527703950589;MediumFi
Glass Dispenser;2,0975731995495153;MediumFi
Glass Dispenser;4,808030805455928;MediumFi
Glass Dispenser;4,018263600271894;MediumFi
Glass Dispenser;5,768370892707026;MediumFi
Glass Dispenser;0,0;MediumFi
Glass Dispenser;16,389928937949662;MediumFi
Glass Dispenser;10,111121846724927;MediumFi
Glass Dispenser;4,792889897398709;MediumFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;HighFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;LowFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
HiddenMesh;0,0;MediumFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;HighFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;LowFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ice Dispenser;0,0;MediumFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;HighFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;LowFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Ignore Raycast;0,0;MediumFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;HighFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;LowFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Middel point;0,0;MediumFi
Shaker Bottle;156,92143412329278;HighFi
Shaker Bottle;156,92143412329278;HighFi
Shaker Bottle;9,377080290114236;HighFi
Shaker Bottle;9,377080290114236;HighFi
Shaker Bottle;20,922184635035592;HighFi
Shaker Bottle;20,922184635035592;HighFi
Shaker Bottle;106,14360229456179;HighFi
Shaker Bottle;106,14360229456179;HighFi
Shaker Bottle;12,660143229077221;HighFi
Shaker Bottle;12,660143229077221;HighFi
Shaker Bottle;25,798500876706385;HighFi
Shaker Bottle;25,798500876706385;HighFi
Shaker Bottle;614,5234542704711;HighFi
Shaker Bottle;614,5234542704711;HighFi
Shaker Bottle;152,8183376924062;HighFi
Shaker Bottle;152,8183376924062;HighFi
Shaker Bottle;26,046899869732442;HighFi
Shaker Bottle;26,046899869732442;HighFi
Shaker Bottle;11,190628160518827;HighFi
Shaker Bottle;11,190628160518827;HighFi
Shaker Bottle;143,87690919436977;HighFi
Shaker Bottle;143,87690919436977;HighFi
Shaker Bottle;57,99329113834165;HighFi
Shaker Bottle;57,99329113834165;HighFi
Shaker Bottle;35,59499755720026;HighFi
Shaker Bottle;35,59499755720026;HighFi
Shaker Bottle;12,549578677018872;HighFi
Shaker Bottle;12,549578677018872;HighFi
Shaker Bottle;2,737347685142595;HighFi
Shaker Bottle;2,737347685142595;HighFi
Shaker Bottle;143,87950834243384;LowFi
Shaker Bottle;143,87950834243384;LowFi
Shaker Bottle;310,0543942121876;LowFi
Shaker Bottle;310,0543942121876;LowFi
Shaker Bottle;32,21058930963045;LowFi
Shaker Bottle;32,21058930963045;LowFi
Shaker Bottle;169,52344093132706;LowFi
Shaker Bottle;169,52344093132706;LowFi
Shaker Bottle;130,13012311852071;LowFi
Shaker Bottle;130,13012311852071;LowFi
Shaker Bottle;165,10954952939937;LowFi
Shaker Bottle;165,10954952939937;LowFi
Shaker Bottle;12,358311100622814;LowFi
Shaker Bottle;12,358311100622814;LowFi
Shaker Bottle;44,660333929918124;LowFi
Shaker Bottle;44,660333929918124;LowFi
Shaker Bottle;4,264798401418375;LowFi
Shaker Bottle;4,264798401418375;LowFi
Shaker Bottle;149,6977266635513;LowFi
Shaker Bottle;149,6977266635513;LowFi
Shaker Bottle;83,43051517724234;LowFi
Shaker Bottle;83,43051517724234;LowFi
Shaker Bottle;337,93023922733846;LowFi
Shaker Bottle;337,93023922733846;LowFi
Shaker Bottle;158,7747585142497;LowFi
Shaker Bottle;158,7747585142497;LowFi
Shaker Bottle;72,40262619601572;LowFi
Shaker Bottle;72,40262619601572;LowFi
Shaker Bottle;145,95060715496948;LowFi
Shaker Bottle;145,95060715496948;LowFi
Shaker Bottle;251,94116658517032;MediumFi
Shaker Bottle;251,94116658517032;MediumFi
Shaker Bottle;9,565914686521864;MediumFi
Shaker Bottle;9,565914686521864;MediumFi
Shaker Bottle;3,4614420096040703;MediumFi
Shaker Bottle;3,4614420096040703;MediumFi
Shaker Bottle;122,37756151142821;MediumFi
Shaker Bottle;122,37756151142821;MediumFi
Shaker Bottle;12,223391479346901;MediumFi
Shaker Bottle;12,223391479346901;MediumFi
Shaker Bottle;170,47837426618207;MediumFi
Shaker Bottle;170,47837426618207;MediumFi
Shaker Bottle;324,82672958078183;MediumFi
Shaker Bottle;324,82672958078183;MediumFi
Shaker Bottle;12,655603069310018;MediumFi
Shaker Bottle;12,655603069310018;MediumFi
Shaker Bottle;19,58013380529883;MediumFi
Shaker Bottle;19,58013380529883;MediumFi
Shaker Bottle;81,57084991058218;MediumFi
Shaker Bottle;81,57084991058218;MediumFi
Shaker Bottle;54,9296092557488;MediumFi
Shaker Bottle;54,9296092557488;MediumFi
Shaker Bottle;26,919299824137852;MediumFi
Shaker Bottle;26,919299824137852;MediumFi
Shaker Bottle;8,502079838614009;MediumFi
Shaker Bottle;8,502079838614009;MediumFi
Shaker Bottle;79,95454300760503;MediumFi
Shaker Bottle;79,95454300760503;MediumFi
Shaker Bottle;69,96895614936693;MediumFi
Shaker Bottle;69,96895614936693;MediumFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;2,5988155053491937;HighFi
Soda gun;2,3480778961238684;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;8,919057543831286;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;HighFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;10,348726023701602;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;LowFi
Soda gun;0,0;MediumFi
Soda gun;0,0;MediumFi
Soda gun;0,0;MediumFi
Soda gun;0,0;MediumFi
Soda gun;2,0835267997317715;MediumFi
Soda gun;7,633475806796923;MediumFi
Soda gun;8,681613319859025;MediumFi
Soda gun;0,0;MediumFi
Soda gun;6,978255720132438;MediumFi
Soda gun;7,211035500164144;MediumFi
Soda gun;0,0;MediumFi
Soda gun;0,0;MediumFi
Soda gun;3,377904208182372;MediumFi
Soda gun;12,673329424389522;MediumFi
Soda gun;0,0;MediumFi
Spoon;18,749371641770267;HighFi
Spoon;12,023909328040872;HighFi
Spoon;12,177194953821527;HighFi
Spoon;0,0;HighFi
Spoon;6,549396979127778;HighFi
Spoon;2,2930688026171993;HighFi
Spoon;0,0;HighFi
Spoon;0,0;HighFi
Spoon;20,24323974258732;HighFi
Spoon;2,3330418974219356;HighFi
Spoon;21,758318188309886;HighFi
Spoon;5,810005987535533;HighFi
Spoon;6,229019595950376;HighFi
Spoon;0,0;HighFi
Spoon;0,0;HighFi
Spoon;17,685323402867652;LowFi
Spoon;0,0;LowFi
Spoon;8,900408275672817;LowFi
Spoon;4,534211401100038;LowFi
Spoon;2,9180476034161984;LowFi
Spoon;9,592264038779831;LowFi
Spoon;6,602892575021542;LowFi
Spoon;27,94174851700518;LowFi
Spoon;2,613014403206762;LowFi
Spoon;10,356922680468415;LowFi
Spoon;34,04295175240259;LowFi
Spoon;9,123667348307208;LowFi
Spoon;8,677366806194186;LowFi
Spoon;15,666190376850409;LowFi
Spoon;4,570421098074803;LowFi
Spoon;0,0;MediumFi
Spoon;5,703476385999238;MediumFi
Spoon;0,0;MediumFi
Spoon;36,489178594594705;MediumFi
Spoon;5,615699294648948;MediumFi
Spoon;10,316606608059374;MediumFi
Spoon;0,0;MediumFi
Spoon;5,072024895060167;MediumFi
Spoon;5,202816521647037;MediumFi
Spoon;2,9754757001355756;MediumFi
Spoon;22,74291033911868;MediumFi
Spoon;2,2360727008244794;MediumFi
Spoon;2,2229596013239643;MediumFi
Spoon;8,15895748118055;MediumFi
Spoon;15,376495082387919;MediumFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;HighFi
Strainer;0,0;LowFi
Strainer;0,0;LowFi
